dataset,model,top_k,auc,auc_std,runs,delta_from_top_k,delta_from_auc,auc_delta
Avazu,AutoInt,1,0.7846,0.0,1,,,0.0
Avazu,AutoInt,2,0.7866,0.0,1,1,0.7846,0.0020000000000000018
Avazu,AutoInt,4,0.7875,0.0,1,2,0.7866,0.0009000000000000119
Avazu,AutoInt,8,0.7873,0.0,1,4,0.7875,-0.00019999999999997797
Avazu,AutoInt,16,0.7869,0.0,1,8,0.7873,-0.00039999999999995595
Avazu,DCNv2,1,0.7901,0.0,1,,,0.0
Avazu,DCNv2,2,0.7901,0.0,1,1,0.7901,0.0
Avazu,DCNv2,4,0.7902,0.0,1,2,0.7901,9.999999999998899e-05
Avazu,DCNv2,8,0.7902,0.0,1,4,0.7902,0.0
Avazu,DCNv2,16,0.7897,0.0,1,8,0.7902,-0.000500000000000056
Avazu,DeepFM,1,0.7815,0.0,1,,,0.0
Avazu,DeepFM,2,0.7856,0.0,1,1,0.7815,0.0040999999999999925
Avazu,DeepFM,4,0.7859,0.0,1,2,0.7856,0.000300000000000078
Avazu,DeepFM,8,0.7865,0.0,1,4,0.7859,0.0005999999999999339
Avazu,DeepFM,16,0.7855,0.0,1,8,0.7865,-0.0010000000000000009
Beauty,AutoInt,1,0.6868,0.0,1,,,0.0
Beauty,AutoInt,2,0.6931,0.0,1,1,0.6868,0.006300000000000083
Beauty,AutoInt,4,0.6934,0.0,1,2,0.6931,0.00029999999999996696
Beauty,AutoInt,8,0.6946,0.0,1,4,0.6934,0.0011999999999999789
Beauty,AutoInt,16,0.6925,0.0,1,8,0.6946,-0.0020999999999999908
Beauty,DCNv2,1,0.6844,0.0,1,,,0.0
Beauty,DCNv2,2,0.6899,0.0,1,1,0.6844,0.005499999999999949
Beauty,DCNv2,4,0.6933,0.0,1,2,0.6899,0.0034000000000000696
Beauty,DCNv2,8,0.6946,0.0,1,4,0.6933,0.0012999999999999678
Beauty,DCNv2,16,0.691,0.0,1,8,0.6946,-0.0036000000000000476
Beauty,DeepFM,1,0.6559,0.0,1,,,0.0
Beauty,DeepFM,2,0.6905,0.0,1,1,0.6559,0.034599999999999964
Beauty,DeepFM,4,0.6914,0.0,1,2,0.6905,0.0009000000000000119
Beauty,DeepFM,8,0.6938,0.0,1,4,0.6914,0.0023999999999999577
Beauty,DeepFM,16,0.6915,0.0,1,8,0.6938,-0.0022999999999999687
MovieLens-1M,AutoInt,1,0.8418,0.0,1,,,0.0
MovieLens-1M,AutoInt,2,0.844,0.0,1,1,0.8418,0.0021999999999999797
MovieLens-1M,AutoInt,4,0.8474,0.0,1,2,0.844,0.0034000000000000696
MovieLens-1M,AutoInt,8,0.8484,0.0,1,4,0.8474,0.0010000000000000009
MovieLens-1M,AutoInt,16,0.8483,0.0,1,8,0.8484,-9.999999999998899e-05
MovieLens-1M,DCNv2,1,0.845,0.0,1,,,0.0
MovieLens-1M,DCNv2,2,0.8467,0.0,1,1,0.845,0.0017000000000000348
MovieLens-1M,DCNv2,4,0.8469,0.0,1,2,0.8467,0.00019999999999997797
MovieLens-1M,DCNv2,8,0.8467,0.0,1,4,0.8469,-0.00019999999999997797
MovieLens-1M,DCNv2,16,0.8462,0.0,1,8,0.8467,-0.000500000000000056
MovieLens-1M,DeepFM,1,0.832,0.0,1,,,0.0
MovieLens-1M,DeepFM,2,0.8413,0.0,1,1,0.832,0.009300000000000086
MovieLens-1M,DeepFM,4,0.8463,0.0,1,2,0.8413,0.0050000000000000044
MovieLens-1M,DeepFM,8,0.8492,0.0,1,4,0.8463,0.0028999999999999027
MovieLens-1M,DeepFM,16,0.8482,0.0,1,8,0.8492,-0.0010000000000000009
